company_name,est_address,employees,has_female_employees,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries,supply_frequency_num,econ_main,econ_sub1,econ_sub2
Iversiones111t tiendas de belleza,CL 48 54 43 local 102 108,13,Sí,5.0,0.38461538461538464,0.0,0.0,5.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,1.0,2.0,50.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",2,1,Carretilla,Motocicleta,8,Motocicleta,8,5,Venta al detalle,,
Distri zapatos - calzado bucaramanga,Cr 54 4803,12,Sí,9.0,0.75,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,calzado,Interno,40.0,2.0,150.0,1.5,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Molina y arango,Calle 44a 54 32,3,No,,0.0,,,,,nan,,Venta al detalle,Recolección de residuos,reciclaje y residuos,Interno,1.0,2.0,130.0,4.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Ninguno,No se realizan domicilios,0,Vehículo particular,5,6,Venta al detalle,,
Comercializadora center,Calle 46 53 05,32,Sí,20.0,0.625,1.0,0.05,13.0,0.65,Madres cabeza de familia,Sí,Fabricante Compran terminado y comercializa,Fabricación (manufacturas) Compran terminado y comercializa,manufacturas,Interno,1.0,4.0,200.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"10:00 a 11:00, 14:00 a 15:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,"Carretilla, Elevador, Escaleras eléctricas",No se realizan domicilios,1,No se realizan ventas por internet,0,5,Fabricante,Compran terminado y comercializa,
Pipe motos,Calle  45 53 A 12,3,No,,0.0,,,,,nan,,Proveedor,Mecánica,mecanica,Interno,1.0,1.0,50.0,3.0,yes,Medellín,Otro ¿cuál?,Lunes,1 vez por semana,09:00 a 10:00,"En camión, sobre la vía, En motocicleta",4,1,Bahía,No se realizan domicilios,4,No se realizan ventas por internet,1,1,Proveedor,,
Distrigiova,CRA 53a 45 124,4,Sí,1.0,0.25,1.0,1.0,1.0,1.0,Madres cabeza de familia,Sí,Proveedor,Textiles,moda y textiles,Interno,1.0,1.0,25.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,08:00 a 09:00,"En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,0,5,Proveedor,,
Organizaciones unidas,Calle 45 a 54 09,6,Sí,2.0,0.3333333333333333,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Proveedor,Servicios de transporte y distribución de mercancías,mensajeria,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",4,1,Carretilla,"Furgón, Carreta ""zorrilla""",6,"Vehículo particular, Furgón, Carreta ""zorrilla""",6,6,Proveedor,,
Storage,Calle 47 53-35,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ropa desportiva,moda y textiles,No,0.0,,,,,,,"Lunes, Martes",2,"07:00 a 08:00, 08:00 a 09:00",En vehículo particular,5,4,Ninguno,Motocicleta,2,Motocicleta,5,2,Venta al detalle,,
Tcc,CRA 53 45 108,14,Sí,1.0,0.07142857142857142,1.0,1.0,1.0,1.0,Víctimas del conflicto armado,Sí,Proveedor correos ventas en línea Servicios de transporte y distribución de mercancías,Mensajería correos ventas en línea Servicios de transporte y distribución de mercancías,mensajeria,Interno,1.0,1.0,200.0,5.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, se descarga internamente",5,5,Carretilla,"Carreta ""zorrilla""",100,Si se realizan ventas por internet,70,6,Proveedor,Servicios de transporte y distribución de mercancías,
Comercializadora la cabalgata,Cll 45 no 55 86,18,Sí,5.0,0.2777777777777778,0.0,0.0,5.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ferretería,ferreteria,Interno,2.0,2.0,200.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, sobre la vía",5,1,Ninguna,Motocicleta,6,Motocicleta,3,,Venta al detalle,,
La tienda del triplex,Cr 57 45 10,5,No,,0.0,,,,,nan,,Fabricante,Madera,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía, En camión, sobre el andén",5,1,Ninguna,No se realizan domicilios,0,"Motocicleta, Vehículo particular, Van",9,6,Fabricante,,
