id,db,Marca temporal,Nombre de la empresa,Dirección de la empresa,Teléfono de contacto,Por favor indique el número de colaboradores que tiene su empresa o comercio,¿En su empresa o comercio cuentan con colaboradoras mujeres?,Por favor indique el número de mujeres que trabajan en su empresa o comercio,Porcentaje mujeres,"De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?",% mujeres en la distribución,De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?,% mujeres vinculadas,"Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:",¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?,"Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:",De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:,Productos principales,¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?,¿Con cuántos espacios de bodega cuenta?,¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?,"Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:","Por favor, indique la altura en metros de la bodega que sirve a su comercio:",¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?,¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?,"Por favor, indique el tipo de bodega con la que cuenta:","Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:",¿Cuántas veces por semana abastece su establecimiento?,"Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:","Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?",¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?,¿Qué medio realiza para el envío de sus artículos a domicilio?,¿Cuántos domicilios realiza a diario su establecimiento?,¿Qué medio realiza para el envío de sus ventas por internet?,¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?,Ir al fin de la encuesta.,"De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:",¿El origen de la mercancía que transporta es el Valle de Aburrá?,"Por favor, indique el municipio:","Por favor, indique cuántas entregas hace en el centro de Medellín al día:","Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:",¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?,Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:,"Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante]","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?","¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?","¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?",¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?,¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?,"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?",¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?,¿Qué actividades se realizan?,¿Cuántas veces por semana se realizan actividades para promover la actividad física?,¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?,establishment_type_clean
1,dt,2022-05-17 11:20:36.160,Iversiones111t tiendas de belleza,CL 48 54 43 local 102 108,5110950,13,Sí,5.0,0.38461538461538464,0.0,0.0,5.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Venta de productos de belleza,Cosméticos y productos de belleza,Interno,1.0,2.0,50.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",2,1,Carretilla,Motocicleta,8,Motocicleta,8,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,dt,2022-05-18 11:17:48.282,Distri zapatos - calzado bucaramanga,Cr 54 4803,3147907153,12,Sí,9.0,0.75,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,Calzado,Interno,40.0,2.0,150.0,1.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dt,2022-05-18 08:28:01.487,Molina y arango,Calle 44a 54 32,3103978026,3,No,,0.0,,,,,,,Venta al detalle,Recolección de residuos,Reciclaje y residuos,Interno,1.0,2.0,130.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Ninguno,No se realizan domicilios,0,Vehículo particular,5,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dt,2022-05-16 16:22:43.406,Comercializadora center,Calle 46 53 05,5134081,32,Sí,20.0,0.625,1.0,0.05,13.0,0.65,Madres cabeza de familia,Sí,Fabricante Compran terminado y comercializa,Fabricación (manufacturas) Compran terminado y comercializa,Manufacturas,Interno,1.0,4.0,200.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"10:00 a 11:00, 14:00 a 15:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,"Carretilla, Elevador, Escaleras eléctricas",No se realizan domicilios,1,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,dt,2022-05-16 15:54:14.360,Pipe motos,Calle  45 53 A 12,5898256 -3295338608,3,No,,0.0,,,,,,,Proveedor,Mecánica,Mecánica,Interno,1.0,1.0,50.0,3.0,Sí,Medellín,Otro ¿cuál?,Lunes,1 vez por semana,09:00 a 10:00,"En camión, sobre la vía, En motocicleta",4,1,Bahía,No se realizan domicilios,4,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,dt,2022-05-17 10:16:09.362,Distrigiova,CRA 53a 45 124,3217623141,4,Sí,1.0,0.25,1.0,1.0,1.0,1.0,Madres cabeza de familia,Sí,Proveedor,Textiles,Moda y textiles,Interno,1.0,1.0,25.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,08:00 a 09:00,"En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,dt,2022-05-19 12:09:55.400,Organizaciones unidas,Calle 45 a 54 09,301 6865405,6,Sí,2.0,0.3333333333333333,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Proveedor,Servicios de transporte y distribución de mercancías,Mensajería,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",4,1,Carretilla,"Furgón, Carreta ""zorrilla""",6,"Vehículo particular, Furgón, Carreta ""zorrilla""",6,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,dt,2022-05-18 09:08:48.189,Storage,Calle 47 53-35,3014379362,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ropa desportiva,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes",2,"07:00 a 08:00, 08:00 a 09:00",En vehículo particular,5,4,Ninguno,Motocicleta,2,Motocicleta,5,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dt,2022-05-17 10:59:07.778,Tcc,CRA 53 45 108,4082483,14,Sí,1.0,0.07142857142857142,1.0,1.0,1.0,1.0,Víctimas del conflicto armado,Sí,Proveedor correos ventas en línea Servicios de transporte y distribución de mercancías,Mensajería correos ventas en línea Servicios de transporte y distribución de mercancías,Mensajería,Interno,1.0,1.0,200.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, se descarga internamente",5,5,Carretilla,"Carreta ""zorrilla""",100,Si se realizan ventas por internet,70,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,dt,2022-05-19 11:56:20.785,Comercializadora la cabalgata,Cll 45 no 55 86,4484038,18,Sí,5.0,0.2777777777777778,0.0,0.0,5.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ferretería,Ferretería,Interno,2.0,2.0,200.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, sobre la vía",5,1,Ninguna,Motocicleta,6,Motocicleta,3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
