id;db;Marca temporal;Correo electrónico;Nombre de la empresa;Dirección de la empresa;Teléfono de contacto;Por favor indique el número de colaboradores que tiene su empresa o comercio;¿En su empresa o comercio cuentan con colaboradoras mujeres?;Por favor indique el número de mujeres que trabajan en su empresa o comercio;Porcentaje mujeres;De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?;% mujeres en la distribución;De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?;% mujeres vinculadas;Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:;¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?;Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:;De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:;Productos principales;¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?;¿Con cuántos espacios de bodega cuenta?;¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?;Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:;Por favor, indique la altura en metros de la bodega que sirve a su comercio:;¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?;¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?;Por favor, indique el tipo de bodega con la que cuenta:;Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:;¿Cuántas veces por semana abastece su establecimiento?;Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:;Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:;"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?";"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?";¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?;¿Qué medio realiza para el envío de sus artículos a domicilio?;¿Cuántos domicilios realiza a diario su establecimiento?;¿Qué medio realiza para el envío de sus ventas por internet?;¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?;Ir al fin de la encuesta.;De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:;¿El origen de la mercancía que transporta es el Valle de Aburrá?;Por favor, indique el municipio:;Por favor, indique cuántas entregas hace en el centro de Medellín al día:;Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:;¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?;Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:;Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante];¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?;¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?;¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?;¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?;¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?;¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?;"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?";¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?;¿Qué actividades se realizan?;¿Cuántas veces por semana se realizan actividades para promover la actividad física?;¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?
1;dt;16/08/2022 10:09;No aplica ;Textiles jara ;Calle 49 56 48;5121421;9;Sí;3;33%;0;0%;3;100%;Ninguna de las anteriores;No;Proveedor;Textiles;Moda y textiles;Interno;2;1;30;6;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00;En camión, sobre la vía;5;1;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
2;dt;16/08/2022 10:01;No aplica;El pompano;Carrera 56 número 46 49;4482015;3;Sí;1;33%;0;0%;1;100%;Ninguna de las anteriores;No;Venta al detalle;Parqueadero;Servicio de estacionamiento;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;5;06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00;En motocicleta;5;2;Ninguno ;Ninguno;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
3;dt;16/08/2022 9:46;No aplica;Bona ;Carrera 53 47 12 cc megacentro piso 7;3185606043;60;Sí;34;57%;0;0%;34;100%;Madres cabeza de familia;Sí;Proveedor;Zapatos;Calzado;Interno;4;7;250;4;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;En camión, sobre la vía, En camión, sobre el andén;5;1;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
4;dt;16/08/2022 9:23;No aplica;Cacharrería arjaher;Carrera 53 48 03 ;No aplica ;10;Sí;6;60%;0;0%;6;100%;Madres cabeza de familia;Sí;Proveedor;Belleza;Cosméticos y productos de belleza;Interno;3;1;176;6;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00;"En camión, sobre la vía, En carreta ""zorrilla""";5;4;Ninguno ;Motocicleta;5;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
5;dt;10/08/2022 13:45;No aplica;Expression ;Carrera 54 45a 38;3146196242;1;Sí;1;100%;0;0%;1;100%;Ninguna de las anteriores;No;Venta al detalle;Perfumería;Cosméticos y productos de belleza;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00;En vehículo particular;5;3;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
6;dt;10/08/2022 13:42;No aplica;La pulga;Carrera 54 47 49;No aplica;17;Sí;12;71%;0;0%;12;100%;Madres cabeza de familia;No;Proveedor;Venta de productos de belleza;Cosméticos y productos de belleza;Interno;2;2;170;5;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes;5;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;"En camión, sobre la vía, En camión, sobre el andén, En carreta ""zorrilla""";5;1;Ninguna;Motocicleta;6;"Motocicleta, Carreta ""zorrilla""";12;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
7;dt;10/08/2022 13:39;No aplica;Papelería Cúcuta ;Carrera 54 46 22;2317398;12;Sí;7;58%;0;0%;7;100%;Madres cabeza de familia;No;Venta al detalle;Papelería;Papelería;Interno;4;3;140;4;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;En camión, sobre la vía, En camión, sobre el andén;5;1;Ninguna;Motocicleta;3;Motocicleta;5;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
8;dt;10/08/2022 13:35;No Aplica;Grupo inversionistas y asociados giga ;Carrera 54 45A 38;5112199;7;Sí;3;43%;0;0%;3;100%;Madres cabeza de familia;No;Venta al detalle;Productos varios que distribuyen al centro;Suministros;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;4;08:00 a 09:00, 16:00 a 17:00;En vehículo particular;5;1;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
9;dt;10/08/2022 13:32;No aplica ;Kalon;Megacentro local 420;No aplica ;3;Sí;3;100%;0;0%;3;100%;Madres cabeza de familia;No;Venta al detalle;Belleza;Cosméticos y productos de belleza;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;3;08:00 a 09:00, 17:00 a 18:00;En vehículo particular;5;1;Ninguni;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
10;dt;9/08/2022 22:02;NA;CASA LUISIAN;CL 46 51 - 31;5138029;3;Sí;3;100%;0;0%;3;100%;Madres cabeza de familia, Víctimas del conflicto armado;Sí;Venta al detalle;Confección y moda;Moda y textiles;Interno;1;1;5;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;"En motocicleta, En carreta ""zorrilla"",En vehículo particular";3;3;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
